id,CODCIE10,DescripcionCIE10,Grupo
1,A00,COLERA,Infecciosas y Parasitarias
2,A000,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE",Infecciosas y Parasitarias
3,A001,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",Infecciosas y Parasitarias
4,A009,COLERA NO ESPECIFICADO,Infecciosas y Parasitarias
5,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,Infecciosas y Parasitarias
6,A010,FIEBRE TIFOIDEA,Infecciosas y Parasitarias
7,A011,FIEBRE PARATIFOIDEA A,Infecciosas y Parasitarias
8,A012,FIEBRE PARATIFOIDEA B,Infecciosas y Parasitarias
9,A013,FIEBRE PARATIFOIDEA C,Infecciosas y Parasitarias
10,A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",Infecciosas y Parasitarias
11,A02,OTRAS INFECCIONES DEBIDAS SALMONELLA,Infecciosas y Parasitarias
12,A020,ENTERITIS DEBIDA A SALMONELLA,Infecciosas y Parasitarias
13,A021,SEPTICEMIA DEBIDA A SALMONELLA,Infecciosas y Parasitarias
14,A022,INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA,Infecciosas y Parasitarias
15,A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,Infecciosas y Parasitarias
16,A029,INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA,Infecciosas y Parasitarias
17,A03,SHIGELOSIS,Infecciosas y Parasitarias
18,A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,Infecciosas y Parasitarias
19,A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,Infecciosas y Parasitarias
20,A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,Infecciosas y Parasitarias
21,A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,Infecciosas y Parasitarias
22,A038,OTRAS SHIGELOSIS,Infecciosas y Parasitarias
23,A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,Infecciosas y Parasitarias
24,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,Infecciosas y Parasitarias
25,A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,Infecciosas y Parasitarias
26,A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,Infecciosas y Parasitarias
27,A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,Infecciosas y Parasitarias
28,A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,Infecciosas y Parasitarias
29,A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,Infecciosas y Parasitarias
30,A045,ENTERITIS DEBIDA A CAMPYLOBACTER,Infecciosas y Parasitarias
31,A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,Infecciosas y Parasitarias
32,A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,Infecciosas y Parasitarias
33,A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,Infecciosas y Parasitarias
34,A049,"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA",Infecciosas y Parasitarias
35,A05,OTRAS INTOXICACIONES INTESTINALES BACTERIANAS,Infecciosas y Parasitarias
36,A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,Infecciosas y Parasitarias
37,A051,BOTULISMO,Infecciosas y Parasitarias
38,A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],Infecciosas y Parasitarias
39,A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,Infecciosas y Parasitarias
40,A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,Infecciosas y Parasitarias
41,A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,Infecciosas y Parasitarias
42,A059,"INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA",Infecciosas y Parasitarias
43,A06,AMEBIASIS,Infecciosas y Parasitarias
44,A060,DISENTERIA AMEBIANA AGUDA,Infecciosas y Parasitarias
45,A061,AMEBIASIS INTESTINAL CRONICA,Infecciosas y Parasitarias
46,A062,COLITIS AMEBIANA NO DISENTERICA,Infecciosas y Parasitarias
47,A063,AMEBOMA INTESTINAL,Infecciosas y Parasitarias
48,A064,ABSCESO AMEBIANO DEL HIGADO,Infecciosas y Parasitarias
49,A065†,ABSCESO AMEBIANO DEL PULMON (J99.8*),Infecciosas y Parasitarias
50,A066†,ABSCESO AMEBIANO DEL CEREBRO (G07*),Infecciosas y Parasitarias
51,A067,AMEBIASIS CUTANEA,Infecciosas y Parasitarias
52,A068,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES,Infecciosas y Parasitarias
53,A069,"AMEBIASIS, NO ESPECIFICADA",Infecciosas y Parasitarias
